"Timestamp","Write out your state code. (The last 4 digit would be most preferred)","What is your current NYSC status?","If you have completed your NYSC, what year did you complete your service?","What is your marital status? ","What is your gender?","What is your age range?","What was your state of residence before NYSC service?","What is your state of deployment?","After NYSC, do you plan to return to your state of origin?","What was your course of study at the university/polytechnic?","Rate your time at your PPA","Is your PPA helping you develop new skills?","Is your PPA far from where you live? Do they assist with transport fare?","Is your PPA relevant to your course of study?","Do you receive a regular monthly allowance (allawee) from your PPA?","What range is your PPA’s salary?","What type of accommodation do you have during service year?","Are you currently learning any skill during your service year?","If yes, pls specify the skill:","Please select the category that best describes your Place of Primary Assignment (PPA):","Would you like to keep working at your PPA after your NYSC service year?","Overall, how valuable do you find the NYSC program?"
"2025/06/22 4:10:31 PM CST","3966","Currently serving","","Single","Male","24-26 years","Edo","Rivers","No","Environmental science","Excellent","Yes","Yes, Yes.","No","Yes","₦31,000 - ₦40,000","Family and friends","Yes","Shoe making","ICT Technology: Tech firms, Software,etc","Yes","Somewhat valuable"
"2025/06/23 4:05:48 AM CST","1845","Currently serving","","Single","Male","27-29 years","Delta","Lagos","Undecided","Environmental science","Good","Yes","Yes, No","No","No","Nothing at all. I dey suffer.","Self-arranged","Yes","","ICT Technology: Tech firms, Software,etc","No","Somewhat valuable"
"2025/06/23 8:09:48 AM CST","2308","Currently serving","still serving","Single","Male","24-26 years","Enugu","Rivers","No","Art/social science","Good","No","Yes, No","Yes","Yes","₦21,000 - ₦30,000","Self-arranged","Yes","Forex","Education","No","Not valuable"
"2025/06/23 8:46:34 AM CST","3700","Completed","2024","Single","Male","27-29 years","Ondo State","Enugu","No","Engineering","Terrible","No","No, No","Yes","No","Nothing at all. I dey suffer.","PPA-provided","Yes","Rice Farming","Education","No","Somewhat valuable"
"2025/06/23 9:39:28 AM CST","2451","Completed","2025","Single","Male","27-29 years","Edo state","Anambra","Yes","Environmental science","Excellent","Yes","No, No","Yes","Yes","₦10,000 - ₦20,000","Self-arranged","No","","Education","No","Very valuable"
"2025/06/23 10:33:22 AM CST","4765","Currently serving","2025","Single","Female","24-26 years","Edo state","Rivers","Undecided","Education","Average","Yes","Yes, No","Yes","Yes","₦31,000 - ₦40,000","Self-arranged","No","","ICT Technology: Tech firms, Software,etc","No","Somewhat valuable"
"2025/06/23 10:43:29 AM CST","0004","Completed","2021","Single","Female","27-29 years","Port Harcourt","Taraba","Yes","Linguistic & Communication Studies ","Excellent","Yes","No, Yes","No","Yes","Nothing at all. I dey suffer.","Self-arranged","No","","Education","No","Very valuable"
"2025/06/23 10:49:04 AM CST","3850","Currently serving","","Single","Female","21-23 years","Lagos State","Rivers","Yes","Mass Communication ","Fair/manageable","No","No, No","Yes","No","Nothing at all. I dey suffer.","Self-arranged","Yes","Digital Marketing ","Oil and gas.","No","Neutral"
"2025/06/24 4:34:39 AM CST","2753","Currently serving","","Single","Female","24-26 years","Rives State","Rivers","No, I want to continue staying in my state of service","Mass Communication ","Average","No","No, No","Yes","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Project Management ","Private Sector/Corporate Organizations","No","Somewhat valuable"
"2025/06/24 6:48:19 AM CST","0725","Currently serving","","Single","Female","24-26 years","Lagos","Lagos","No, I want to continue staying in my state of service","Art/social science","Good","Yes","Yes, No","Yes","Yes",">₦50,000","Family and friends","No","","NGOs/International organization","Undecided","Somewhat valuable"
"2025/06/24 7:39:02 AM CST","2762","Currently serving","2025","Single","Male","24-26 years","Delta","Delta","Yes","Environmental science","Good","Yes","No, No","Yes","Yes",">₦50,000","Family and friends","No","","Oil and gas.","Yes","Very valuable"
"2025/06/24 7:40:50 AM CST","2720","Currently serving","","Single","Female","24-26 years","Delta state ","Rivers","Undecided","Science laboratory technology ","Average","No","No, No","No","No","Nothing at all. I dey suffer.","Self-arranged","No","","Education","No","Neutral"
"2025/06/24 8:25:59 AM CST","LA/23A/0349","Completed","2023","Single","Male","24-26 years","Delta state ","Lagos","No, I want to continue staying in my state of service","Biochemistry ","Excellent","Yes","Yes, Yes.","No","Yes",">₦50,000","Self-arranged","No","","Education","Undecided","Very valuable"
"2025/06/24 8:57:01 AM CST","1771","Completed","2025","Single","Female","21-23 years","Edo State ","Delta","No, I want to continue staying in my state of service","Life science","Average","Yes","No, No","No","Yes",">₦50,000","Church-provided","No","","Oil and gas.","Yes","Somewhat valuable"
"2025/06/24 8:58:01 AM CST","2349","Currently serving","","Single","Female","24-26 years","Enugu","Rivers","Undecided","Anatomy ","Average","No","Yes, No","No","No","Nothing at all. I dey suffer.","Self-arranged","No","","Government agencies/parastatals","No","Neutral"
"2025/06/24 9:17:05 AM CST","DT 24C 2188","Currently serving","","Single","Male","21-23 years","Edo state","Delta","Yes","Microbiology ","Fair/manageable","Yes","No, No","Yes","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Trading stocks ","Health; hospitals & pharmacies, etc","No","Not valuable"
"2025/06/24 9:17:53 AM CST","3148","Completed","2025","Single","Male","24-26 years","Edo","Lagos","No, I want to continue staying in my state of service","Engineering","Excellent","Yes","No, No","Yes","Yes","₦41,000 - ₦50,000","Family and friends","Yes","Cloud engineering ","ICT Technology: Tech firms, Software,etc","Undecided","Somewhat valuable"
"2025/06/24 9:23:46 AM CST","3692","Currently serving","","Single","Female","21-23 years","Edo State ","Rivers","Yes","Education","Excellent","Yes","No, No","Yes","Yes","₦10,000 - ₦20,000","PPA-provided","No","","Education","No","Somewhat valuable"
"2025/06/24 9:33:40 AM CST","2392","Completed","2025","Single","Male","24-26 years","Edo state ","Ebonyi","Yes","Engineering","Average","No","Yes, Yes.","No","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Graphic designer po","Private Sector/Corporate Organizations","No","Not valuable"
"2025/06/24 11:22:44 AM CST","Rv/24B/2763 ","Currently serving","Still serving","Single","Female","27-29 years","Abia state ","Rivers","Undecided","Art/social science","Fair/manageable","Yes","Yes, Yes.","No","Yes","₦10,000 - ₦20,000","PPA-provided","No","","Education","No","Neutral"
"2025/06/24 1:38:36 PM CST","3998","Currently serving","2025","Single","Male","27-29 years","Edo State","Rivers","Undecided","Engineering","Fair/manageable","No","No, No","No","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Data Analysis","Education","No","Somewhat valuable"
"2025/06/24 2:56:06 PM CST","2676","Currently serving","","Single","Female","21-23 years","Delta State ","Rivers","Yes","Biochemistry ","Fair/manageable","No","No, No","No","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Content creation and programming ","Education","No","Somewhat valuable"
"2025/06/24 3:45:26 PM CST","0194","Currently serving","","Single","Male","24-26 years","Lagos ","Lagos","Undecided","Engineering","Excellent","Yes","Yes, No","No","Yes","₦41,000 - ₦50,000","Family and friends","No","","Real Estate ","Undecided","Neutral"
"2025/06/24 4:24:36 PM CST","1830","Completed","2025","Single","Male","24-26 years","Lagos","Lagos","Yes","Surveying and Geoinformatics","Excellent","Yes","No, Yes","Yes","Yes",">₦50,000","Family and friends","Yes","i am a Product Designer","Construction","Yes","Neutral"
"2025/06/26 9:40:06 AM CST","0444","Completed","2022","Single","Female","24-26 years","Adamawa","TARABA ","Yes","Business management ","Average","No","No, No","Yes","No","Nothing at all. I dey suffer.","Church-provided","No","None ","School ","No","Somewhat valuable"
"2025/06/26 10:07:46 AM CST","2616","Completed","2019","Single","Female","Above 30 years.","Rivers State","Kogi","Yes","Life science","Good","No","No, No","No","Yes","Nothing at all. I dey suffer.","PPA-provided","Yes","Shoemaking and bag making ","Education","No","Very valuable"
"2025/06/26 11:45:21 AM CST","4005","Currently serving","2025","Single","Male","21-23 years","Niger  state","Rivers","Undecided","Sociology","Fair/manageable","No","Yes, No","No","No","Nothing at all. I dey suffer.","PPA-provided","No","","Education","No","Somewhat valuable"
"2025/06/27 3:01:15 AM CST","3633","Currently serving","","Single","Female","21-23 years","Edo State ","Rivers","No, I want to continue staying in my state of service","Life science","Fair/manageable","No","No, No","No","Yes","₦10,000 - ₦20,000","PPA-provided","No","","Education","No","Not valuable"
"2025/06/27 3:51:20 AM CST","3256","Currently serving","","Single","Female","24-26 years","Rivers state ","Rivers","No, I want to continue staying in my state of service","Economics","Excellent","Yes","Yes, Yes.","Yes","Yes","₦10,000 - ₦20,000","Family and friends","Yes","Project management ","Education","No","Neutral"
"2025/06/27 3:57:33 AM CST","0000","Currently serving","","Single","Female","24-26 years","Rivers ","Rivers","No, I want to continue staying in my state of service","Life science","Excellent","Yes","Yes, No","Yes","Yes",">₦50,000","Family and friends","Yes","Fashion design, digital skill","Health; hospitals & pharmacies, etc","Yes","Very valuable"
"2025/06/27 4:04:30 AM CST","2847","Currently serving","","Single","Female","24-26 years","Cross River ","Rivers","No, I want to continue staying in my state of service","Art/social science","Terrible","No","Yes, No","No","Yes","₦10,000 - ₦20,000","Family and friends","Yes","Learning a language ","Education","No","Somewhat valuable"
"2025/06/27 4:08:07 AM CST","RV/25A/0829","Currently serving","2026","Single","Female","21-23 years","Aba, Abia state","Rivers","No, I want to continue staying in my state of service","Physical science","Average","Yes","No, No","Yes","No","Nothing at all. I dey suffer.","PPA-provided","No","","Education","No","Somewhat valuable"
"2025/06/27 4:13:12 AM CST","2994","Currently serving","","Single","Female","24-26 years","Delta","Rivers","Undecided","Agriculture ","Excellent","Yes","Yes, No","No","Yes","₦10,000 - ₦20,000","Self-arranged","Yes","Video editing","Education","No","Somewhat valuable"
"2025/06/27 4:16:31 AM CST","3670","Currently serving","","Single","Female","24-26 years","Delta","Rivers","Undecided","Life science","Good","No","No, No","No","No","Nothing at all. I dey suffer.","Self-arranged","Yes","Lash extension","Education","No","Not valuable"
"2025/06/27 4:20:37 AM CST","0000","Currently serving","","Single","Female","21-23 years","Rivers","Rivers","No, I want to continue staying in my state of service","Art/social science","Average","No","Yes, No","Yes","Yes","₦10,000 - ₦20,000","Family and friends","Yes","Content marketing","Communication and broadcasting","No","Neutral"
"2025/06/27 4:23:43 AM CST","0000","Currently serving","","Single","Male","24-26 years","Abia","Rivers","Undecided","Art/social science","Good","Yes","No, Yes","Yes","Yes","₦10,000 - ₦20,000","Self-arranged","No","","Education","No","Very valuable"
"2025/06/27 4:27:20 AM CST","9089","Currently serving","","Single","Male","24-26 years","Delta","Rivers","No, I want to continue staying in my state of service","Engineering","Average","Yes","No, No","No","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Blockchain data analytic","Education","No","Somewhat valuable"
"2025/06/27 4:31:12 AM CST","1463","Currently serving","","Single","Female","24-26 years","Bayelsa state","Rivers","No, I want to continue staying in my state of service","Art/social science","Good","No","Yes, No","No","No","Nothing at all. I dey suffer.","Family and friends","Yes","Culinary and candle making ","Education","No","Neutral"
"2025/06/27 4:36:57 AM CST","1577","Currently serving","","Single","Female","21-23 years","Ogun state","Rivers","No, I want to continue staying in my state of service","Art/social science","Excellent","Yes","Yes, No","Yes","Yes","₦10,000 - ₦20,000","Family and friends","No","","Communication and broadcasting","Yes","Very valuable"
"2025/06/27 4:44:04 AM CST","8888","Currently serving","","Single","Male","21-23 years","Enugu","Rivers","Undecided","Environmental science","Average","Yes","Yes, Yes.","Yes","Yes","₦21,000 - ₦30,000","Family and friends","Yes","","Construction","Undecided","Neutral"
"2025/06/27 5:07:05 AM CST","0012","Currently serving","","Single","Male","27-29 years","Edo state","Rivers","Undecided","Physical science","Average","Yes","Yes, Yes.","No","Yes",">₦50,000","Self-arranged","Yes","Computer skills ","Finance and banking","Undecided","Very valuable"
"2025/06/27 5:29:06 AM CST","3427","Currently serving","","Single","Male","27-29 years","Ondo state","Rivers","No, I want to continue staying in my state of service","Environmental science","Good","Yes","Yes, No","No","No","Nothing at all. I dey suffer.","Family and friends","Yes","Public speaking ","Education","No","Somewhat valuable"
"2025/06/28 1:39:20 PM CST","3338","Currently serving","","Single","Female","21-23 years","Rivers ","Bayelsa ","Undecided","Engineering","Excellent","Yes","Yes, Yes.","Yes","Yes",">₦50,000","Corpers lodge","Yes","Tailoring ","Construction ","Yes","Very valuable"
"2025/07/03 9:25:49 AM CST","1539","Currently serving","","Single","Male","24-26 years","Delta","Edo","No, I want to continue staying in my state of service","Environmental science","Excellent","Yes","Yes, Yes.","Yes","Yes",">₦50,000","Family and friends","Yes","Data Analysis","Oil and gas.","Yes","Somewhat valuable"
"2025/07/04 3:13:17 AM CST","5127","Currently serving","","Single","Female","21-23 years","Rivers","Rivers","No, I want to continue staying in my state of service","Engineering","Good","Yes","No, No","No","Yes","₦10,000 - ₦20,000","Family and friends","No","","Education","No","Not valuable"
"2025/07/04 3:20:47 AM CST","3970","Currently serving","2026","Single","Male","21-23 years","Delta","Rivers","Undecided","Medical lab science","Fair/manageable","Yes","No, Yes","Yes","Yes","₦10,000 - ₦20,000","PPA-provided","No","","Medicine","Undecided","Neutral"
"2025/07/04 3:39:33 AM CST","0608","Currently serving","","Single","Female","21-23 years","Delta","Rivers","No, I want to continue staying in my state of service","Life science","Good","Yes","Yes, No","Yes","Yes",">₦50,000","Family and friends","No","","Food and beverage Industry","Undecided","Neutral"
"2025/07/04 3:47:59 AM CST","2293","Currently serving","2025","Single","Male","24-26 years","Port harcourt ","Rivers","Undecided","Engineering","Average","Yes","Yes, No","Yes","Yes",">₦50,000","Family and friends","Yes","Cloud computing ","ICT Technology: Tech firms, Software,etc","Undecided","Neutral"
"2025/07/04 3:52:37 AM CST","0037","Currently serving","2025","Single","Male","27-29 years","Rivers","Rivers","No, I want to continue staying in my state of service","Computer Science","Excellent","Yes","Yes, No","Yes","Yes",">₦50,000","Self-arranged","Yes","App creation","ICT Technology: Tech firms, Software,etc","Yes","Very valuable"
"2025/07/04 3:58:19 AM CST","0710","Currently serving","2025","Single","Male","Above 30 years.","Abia state","Rivers","No, I want to continue staying in my state of service","Engineering","Good","Yes","Yes, Yes.","No","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Videography ","Education","No","Neutral"
"2025/07/04 4:07:36 AM CST","3567","Currently serving","","Single","Female","24-26 years","Port harcout ","Rivers","No, I want to continue staying in my state of service","Art/social science","Average","No","Yes, No","No","Yes","₦10,000 - ₦20,000","Family and friends","No","","Education","No","Somewhat valuable"
"2025/07/04 4:12:22 AM CST","2748","Currently serving","","Single","Male","24-26 years","IMO state","Rivers","Undecided","Life science","Good","No","Yes, No","No","No","Nothing at all. I dey suffer.","Family and friends","Yes","Web dev","Education","No","Neutral"
